ID, X, Y, Z
517076.51885, 0.254, 1.038, 9.466
517076.53944, 0.201, 0.933, 9.437
517076.55832, 0.129, 1.038, 9.351
517076.57835, 0.172, 0.976, 9.322
517076.59939, 0.153, 1.043, 9.303
517076.61828, 0.158, 1.120, 9.212
517076.63829, 0.244, 0.986, 9.284
517076.65918, 0.192, 1.038, 9.413
517076.67817, 0.177, 1.034, 9.356
517076.69804, 0.134, 1.211, 9.337
517076.71920, 0.192, 1.369, 9.389
517076.73798, 0.311, 1.426, 9.236
517076.75793, 0.038, 1.551, 9.466
517076.77901, 0.225, 1.666, 9.476
517076.79784, 0.172, 2.082, 9.251
517076.81796, 0.196, 2.030, 9.322
517076.83882, 0.321, 1.872, 9.265
517076.85772, 0.000, 2.269, 9.490
517076.87775, 0.043, 2.307, 9.059
517076.89871, -0.129, 1.776, 9.887
517076.91781, -0.268, 2.327, 9.380
517076.93783, -0.503, 1.613, 9.327
517076.95902, 0.460, 2.959, 9.107
517076.97789, -0.163, 2.015, 9.208
517076.99762, 0.081, 2.714, 9.322
517077.01878, 0.005, 1.819, 8.432
517077.03756, 0.690, 2.810, 9.763
517077.05762, 0.579, 2.686, 9.720
517077.07946, 0.565, 1.508, 9.318
517077.09762, 1.604, 2.700, 9.710
517077.11753, 0.354, 2.030, 9.428
517077.13833, 0.498, 1.690, 8.868
517077.15754, 1.772, 2.987, 8.800
517077.17747, 0.948, 2.762, 9.246
517077.19823, 1.460, 2.054, 9.337
517077.21750, 1.686, 2.906, 7.465
517077.23730, 1.211, 1.287, 10.400
517077.25810, 1.590, 1.943, 7.723
517077.27704, 1.020, 1.158, 8.231
517077.29698, 2.485, 2.916, 8.279
517077.31834, -0.570, 3.323, 7.690
517077.33729, 0.421, 2.710, 8.628
517077.35680, -0.642, 1.355, 8.781
517077.37787, 0.421, 0.761, 11.520
517077.39672, -0.172, 0.435, 9.298
517077.41821, -1.283, 1.776, 10.309
517077.43814, -1.120, 1.589, 9.552
517077.45664, -0.670, 1.541, 10.630
517077.47677, -0.551, 0.766, 9.227
517077.49801, 0.441, 0.919, 10.060
517077.51800, 0.833, 2.815, 8.695
517077.53688, -0.661, 0.598, 9.552
517077.55748, -0.244, 2.374, 10.261
517077.57634, 1.815, 2.441, 9.227
517077.59647, 0.192, 1.149, 8.513
517077.61729, -0.848, 0.895, 9.921
517077.63647, -1.437, 0.378, 8.331
517077.65614, -0.589, 0.473, 9.533
517077.67756, 1.542, 2.269, 8.207
517077.69601, -0.239, 0.234, 10.165
517077.71752, -0.455, 1.331, 9.174
517077.73727, -0.278, 1.661, 9.581
517077.75595, -0.436, 0.785, 10.462
517077.77597, -1.681, 0.861, 3.117
517077.79700, -0.177, 0.291, 11.051
517077.81577, -1.097, -0.259, 8.528
517077.83578, 0.891, 1.934, 9.897
517077.85680, 0.488, 1.144, 8.757
517077.87607, -0.761, 1.843, 9.346
517077.89592, 0.192, 3.275, 10.060
517077.91642, -0.962, 2.753, 9.969
517077.93541, 0.335, 2.054, 9.935
517077.95536, 0.934, 3.658, 9.160
517077.97648, 2.816, 2.360, 9.624
517077.99525, 0.196, 2.307, 10.687
517078.01520, -0.575, 1.905, 9.921
517078.03636, 0.824, 2.236, 7.125
517078.05533, -1.944, 0.306, 9.864
517078.07526, -1.403, 2.796, 8.954
517078.09624, -0.871, 1.599, 9.734
517078.11510, 0.278, 0.703, 8.149
517078.13496, 0.651, 2.140, 11.176
517078.15637, 0.517, 3.418, 8.642
517078.17530, -0.206, 1.374, 10.855
517078.19503, -1.106, 0.890, 8.384
517078.21597, -2.198, -0.068, 7.388
517078.23476, -0.077, 2.135, 11.841
517078.25493, 0.474, 2.542, 6.909
517078.27579, 0.666, 1.412, 12.066
517078.29478, 1.571, 2.054, 9.868
517078.31462, 0.809, 2.705, 8.178
517078.33589, 0.737, 0.919, 10.108
517078.35478, 1.058, 1.369, 6.267
517078.37471, 0.101, 1.163, 10.615
517078.39670, -0.048, 1.067, 10.816
517078.41471, 1.279, 0.153, 8.173
517078.43465, 0.235, 0.962, 10.922
517078.45552, 0.005, 0.943, 6.464
517078.47457, 0.139, 2.686, 11.204
517078.49446, 0.986, 0.770, 7.144
517078.51706, 0.120, 2.355, 11.970
517078.53460, 2.140, 2.288, 8.556
517078.55432, 1.724, 0.660, 9.998
517078.57574, 0.599, -0.101, 8.743
517078.59488, 1.259, 0.608, 9.749
517078.61466, 0.493, 0.948, 7.694
517078.63568, 0.062, 2.149, 11.405
517078.65406, -0.852, 0.536, 7.728
517078.67454, 0.570, 1.618, 10.203
517078.69533, 2.021, 1.560, 9.595
517078.71501, 1.992, 3.064, 9.849
517078.73451, 0.575, 2.116, 11.147
517078.75496, -1.484, 1.762, 9.370
517078.77421, -1.159, 0.258, 10.180
517078.79397, -1.279, 0.636, 11.142
517078.81502, 0.948, 2.102, 8.322
517078.83430, -0.201, 2.638, 11.204
517078.85368, 0.512, 1.273, 9.715
517078.87506, 0.589, 0.708, 5.985
517078.89363, 0.924, 0.971, 10.280
517078.91410, 0.077, 0.564, 8.710
517078.93518, -0.455, 1.546, 8.504
517078.95345, 0.551, 2.920, 12.143
517078.97358, 0.096, -0.029, 7.972
517078.99468, -1.930, -0.092, 6.990
517079.01496, -0.077, -0.058, 11.128
517079.03351, -1.379, 0.004, 8.499
517079.05432, 0.014, 1.943, 9.208
517079.07345, 0.848, 1.101, 11.381
517079.09317, 0.292, 2.322, 7.455
517079.11628, -1.350, 1.287, 7.828
517079.13361, -2.298, -0.891, 12.296
517079.15303, -1.451, -0.398, 7.172
517079.17439, 1.393, 1.790, 10.357
517079.19338, 0.584, 2.030, 11.894
517079.21330, -0.819, 1.350, 9.164
517079.23450, 0.220, 2.121, 7.785
517079.25292, -1.484, 0.387, 12.119
517079.27319, 0.704, 1.958, 6.473
517079.29418, 0.632, 2.552, 9.806
517079.31306, 0.661, 3.117, 7.929
517079.33296, -0.230, 1.967, 11.980
517079.35361, 2.241, 1.915, 7.144
517079.37269, -0.565, -0.388, 9.959
517079.39292, 1.279, 2.011, 6.234
517079.41466, -0.570, 0.315, 9.112
517079.43298, 0.733, 1.857, 10.462
517079.45237, -1.460, -0.360, 8.010
517079.47386, 0.977, 0.263, 6.583
517079.49265, 0.690, -0.092, 12.832
517079.51228, 0.043, 1.029, 7.005
517079.53352, -0.589, 1.369, 9.701
517079.55222, 0.867, 0.995, 10.941
517079.57220, -0.910, 0.727, 9.442
517079.59358, 2.169, 2.418, 9.940
517079.61236, 2.389, 3.136, 9.002
517079.63257, 1.231, 1.479, 8.686
517079.65301, -0.651, -0.029, 8.662
517079.67229, 1.518, 2.384, 9.375
517079.69197, 0.910, 2.810, 11.611
517079.71442, 2.442, 2.207, 6.914
517079.73231, 0.709, 1.733, 10.127
517079.75173, 0.613, 1.829, 9.749
517079.77313, 1.786, 1.982, 7.723
517079.79206, 0.551, 2.571, 10.606
517079.81169, 1.494, 2.896, 11.765
517079.83292, -1.235, 0.646, 9.251
517079.85158, -1.274, -0.092, 9.715
517079.87201, 0.369, 0.454, 9.964
517079.89294, 1.437, 2.810, 8.235
517079.91167, 0.215, 1.762, 9.236
517079.93193, 0.560, 2.159, 8.298
517079.95239, 0.129, 1.129, 9.222
517079.97165, 0.757, 2.303, 8.710
517079.99164, 0.019, 2.552, 8.528
517080.01293, -1.671, -0.202, 10.836
517080.03133, -0.996, -0.910, 6.349
517080.05120, 0.747, 1.489, 10.883
517080.07241, -0.201, 2.149, 8.178
