TIME, X, Y, Z
685477.03237, -0.120, 2.245, 8.959
685477.05222, 0.024, 2.102, 8.978
685477.07213, -0.067, 2.159, 9.160
685477.09225, -0.182, 2.164, 9.313
685477.11214, -0.220, 2.145, 9.504
685477.13201, -0.177, 2.260, 9.433
685477.15221, -0.187, 2.135, 8.935
685477.17190, -0.120, 2.073, 9.136
685477.19193, -0.019, 2.221, 9.188
685477.21202, -0.196, 2.197, 9.265
685477.23215, -0.072, 2.173, 9.208
685477.25202, -0.211, 2.092, 8.863
685477.27198, -0.129, 2.226, 9.145
685477.29173, -0.067, 2.274, 9.260
685477.31178, -0.029, 2.264, 9.088
685477.33196, 0.096, 2.197, 8.777
685477.35171, 0.062, 2.011, 8.978
685477.37316, 0.172, 2.159, 9.131
685477.39369, 0.153, 2.159, 9.351
685477.41203, 0.163, 2.183, 9.490
685477.43162, -0.034, 2.092, 9.423
685477.45168, -0.129, 2.102, 9.227
685477.47143, 0.168, 2.183, 9.097
685477.49144, 0.340, 2.135, 8.906
685477.51159, 0.330, 2.279, 8.925
685477.53130, 0.244, 2.441, 8.882
685477.55171, 0.206, 2.667, 9.035
685477.57167, 0.326, 2.580, 8.523
685477.59139, 0.330, 2.379, 8.628
685477.61132, 0.302, 2.303, 8.662
685477.63129, 0.148, 2.121, 9.294
685477.65109, 0.172, 2.106, 9.758
685477.67110, 0.239, 2.197, 9.840
685477.69143, 0.230, 2.192, 8.796
685477.71104, 0.230, 2.336, 8.053
685477.73088, 0.096, 2.389, 7.910
685477.75096, 0.206, 2.441, 8.350
685477.77070, 0.388, 2.643, 9.030
685477.79100, 0.187, 2.317, 8.968
685477.81094, 0.254, 2.183, 9.160
685477.83097, 0.330, 2.164, 9.437
685477.85092, 0.359, 2.192, 9.562
685477.87088, 0.527, 2.327, 9.184
685477.89111, 0.690, 2.389, 8.796
685477.91251, 0.503, 2.312, 8.513
685477.93231, 0.287, 2.202, 8.963
685477.95078, 0.263, 2.188, 9.734
685477.97057, 0.192, 2.106, 10.419
685477.99058, 0.034, 1.896, 10.505
685478.01099, -0.124, 2.063, 9.983
685478.03285, -0.105, 1.733, 9.500
685478.05047, -0.120, 1.517, 9.677
685478.07027, -0.086, 1.307, 10.448
685478.09032, 0.101, 1.220, 10.472
685478.11046, 0.081, 1.249, 9.725
685478.13052, -0.206, 1.254, 9.504
685478.15169, -0.144, 1.091, 9.624
685478.17012, 0.067, 0.952, 10.199
685478.19015, 0.067, 0.655, 10.285
685478.21029, 0.101, 0.631, 10.160
685478.23196, 0.038, 0.799, 9.399
685478.25146, -0.086, 1.005, 8.911
685478.26977, -0.536, 1.038, 8.619
685478.29012, -0.709, 1.010, 8.389
685478.31011, -0.622, 1.316, 8.518
685478.33139, -0.431, 1.536, 8.293
685478.35145, -0.345, 1.489, 8.006
685478.36956, -0.263, 1.402, 8.173
685478.38968, 0.000, 1.551, 8.379
685478.40989, 0.244, 1.876, 8.753
685478.42985, 0.206, 1.948, 8.824
685478.44980, 0.062, 1.905, 8.484
685478.46955, -0.067, 1.560, 8.417
685478.48966, -0.134, 1.747, 8.872
685478.50955, -0.201, 1.704, 9.102
685478.53115, -0.206, 1.608, 9.351
685478.55082, -0.153, 1.618, 9.366
685478.56914, -0.163, 1.484, 9.298
685478.58952, -0.005, 1.450, 9.160
685478.60912, -0.014, 1.709, 9.284
685478.62942, -0.201, 1.551, 9.686
685478.64944, -0.268, 1.580, 10.089
685478.66893, -0.144, 1.216, 10.496
685478.68904, 0.053, 1.206, 10.812
685478.70942, 0.005, 1.321, 10.496
685478.73082, 0.057, 1.747, 9.729
685478.75039, 0.345, 1.967, 9.002
685478.76895, 0.335, 1.924, 9.370
685478.78882, 0.120, 1.489, 10.026
685478.80877, -0.139, 1.029, 10.601
685478.83097, -0.163, 0.464, 10.874
685478.85003, -0.120, 0.186, 10.256
685478.86847, 0.062, 0.344, 9.399
685478.88875, 0.412, 0.794, 8.815
685478.90852, 0.766, 0.995, 8.767
685478.93049, 0.900, 0.924, 9.270
685478.94970, 0.771, 0.363, 8.992
685478.96830, 0.599, 0.406, 8.963
