ID, X, Y, Z
512795.89781, -0.115, 2.667, 9.107
512795.91583, -0.163, 2.427, 9.136
512795.93478, -0.192, 2.456, 9.461
512795.95477, -0.034, 2.456, 9.538
512795.97575, 0.014, 2.667, 9.375
512795.99468, 0.005, 2.657, 9.011
512796.01465, 0.043, 2.513, 9.097
512796.03563, 0.220, 2.413, 9.241
512796.05454, -0.057, 2.336, 9.203
512796.07447, 0.057, 2.360, 9.193
512796.09548, 0.048, 2.422, 9.193
512796.11444, -0.014, 2.298, 9.035
512796.13441, -0.072, 2.322, 8.992
512796.15536, 0.086, 2.528, 9.327
512796.17426, 0.096, 2.293, 8.915
512796.19429, 0.192, 2.346, 8.911
512796.21528, 0.043, 2.298, 9.088
512796.23415, 0.019, 2.303, 9.174
512796.25409, 0.182, 2.250, 9.366
512796.27514, -0.034, 2.293, 9.342
512796.29401, -0.019, 2.245, 9.303
512796.31407, 0.072, 2.039, 9.524
512796.33530, -0.177, 1.948, 9.528
512796.35408, -0.211, 2.082, 9.528
512796.37424, -0.283, 2.106, 9.294
512796.39522, -0.220, 2.078, 9.260
512796.41419, 0.053, 2.178, 9.179
512796.43497, -0.177, 2.145, 9.169
512796.45495, 0.077, 2.221, 9.174
512796.47388, -0.024, 2.365, 9.030
512796.49374, -0.177, 2.528, 8.810
512796.51498, -0.373, 2.456, 8.604
512796.53399, -0.417, 2.408, 8.820
512796.55368, -0.211, 2.523, 9.260
512796.57504, -0.201, 2.523, 8.954
512796.59359, -0.235, 2.398, 9.193
512796.61383, -0.220, 2.475, 9.260
512796.63482, -0.072, 2.384, 9.519
512796.65344, -0.249, 1.982, 9.844
512796.67345, -0.220, 2.169, 9.974
512796.69447, -0.283, 2.216, 9.337
512796.71332, -0.134, 2.130, 8.805
512796.73475, -0.383, 1.872, 8.537
512796.75439, -0.192, 2.135, 8.724
512796.77319, -0.431, 2.078, 8.738
512796.79321, -0.460, 2.130, 9.255
512796.81440, -0.096, 2.183, 9.916
512796.83458, -0.129, 2.063, 9.624
512796.85346, -0.177, 1.896, 9.428
512796.87403, -0.105, 2.125, 9.308
512796.89302, -0.139, 2.221, 9.121
512796.91325, -0.014, 2.456, 9.337
512796.93552, 0.139, 2.465, 9.447
512796.95316, 0.057, 2.082, 9.744
512796.97274, 0.057, 1.924, 9.954
512796.99383, 0.129, 1.943, 10.242
512797.01266, 0.124, 2.030, 9.887
512797.03291, -0.029, 1.958, 9.610
512797.05410, -0.144, 1.527, 10.079
512797.07253, 0.120, 1.378, 10.271
512797.09290, 0.273, 1.474, 9.557
512797.11356, 0.373, 1.723, 8.863
512797.13276, 0.541, 1.948, 8.259
512797.15235, 0.464, 2.307, 8.173
512797.17336, 0.541, 2.351, 8.489
512797.19238, 0.350, 2.226, 8.547
512797.21223, 0.273, 2.106, 8.437
512797.23501, 0.283, 2.006, 8.561
512797.25276, 0.139, 2.125, 8.796
512797.27215, 0.010, 2.192, 8.824
512797.29329, 0.249, 2.293, 8.614
512797.31204, -0.010, 2.149, 8.623
512797.33217, 0.373, 2.245, 8.748
512797.35335, 0.589, 2.303, 8.772
512797.37189, 0.690, 2.231, 9.026
512797.39220, 0.757, 2.106, 8.997
512797.41292, 0.618, 2.154, 9.073
512797.43179, 0.747, 2.451, 8.973
512797.46036, 0.713, 2.398, 8.666
512797.47275, 0.747, 2.513, 8.446
512797.49152, 0.541, 2.695, 8.868
512797.51151, 0.541, 2.532, 9.389
512797.53237, 0.503, 2.446, 9.696
512797.55138, 0.493, 2.355, 9.749
512797.57127, 0.445, 2.341, 10.084
512797.59257, 0.340, 2.513, 10.510
512797.61148, 0.072, 2.317, 10.505
512797.63141, 0.139, 2.384, 10.170
512797.65263, 0.249, 2.609, 9.447
512797.67128, 0.182, 2.791, 9.030
512797.69128, -0.014, 2.743, 9.423
512797.71251, -0.220, 2.403, 10.309
512797.73270, -0.321, 1.570, 11.243
512797.75145, -0.053, 0.914, 12.703
512797.77289, 0.254, 0.335, 11.731
512797.79103, 0.642, 0.469, 10.400
512797.81104, 0.517, 1.062, 8.777
512797.83373, 0.110, 1.671, 7.192
512797.85127, -0.067, 1.790, 7.034
512797.87081, -0.268, 1.762, 8.202
512797.89184, -0.326, 1.718, 8.408
512797.91082, 0.072, 1.843, 8.877
512797.93051, -0.206, 1.402, 9.318
512797.95179, -0.421, 1.177, 9.538
512797.97083, 0.024, 1.407, 9.241
512797.99094, 0.421, 1.819, 8.441
512798.01313, 0.330, 2.087, 7.694
512798.03049, 0.244, 1.987, 7.790
512798.05070, 0.369, 1.886, 8.049
512798.07155, 0.211, 2.078, 8.283
512798.09066, 0.182, 2.216, 8.288
512798.11036, 0.153, 2.422, 8.389
512798.13151, -0.187, 2.274, 8.355
512798.15025, -0.201, 2.336, 8.575
512798.17026, 0.057, 2.494, 8.906
512798.19138, 0.139, 2.293, 9.006
512798.21011, 0.235, 2.260, 9.658
512798.23037, 0.201, 2.303, 9.524
512798.25134, 0.326, 2.202, 10.098
512798.26998, 0.014, 2.054, 10.294
512798.28999, -0.010, 1.987, 10.486
512798.31123, -0.057, 2.106, 10.745
512798.33157, 0.005, 2.221, 10.769
512798.35030, 0.029, 2.370, 10.366
512798.37084, -0.105, 2.207, 10.716
512798.38981, -0.192, 1.431, 11.448
512798.40997, 0.244, 0.684, 11.879
512798.43198, 0.364, 0.435, 12.473
512798.45002, 0.373, 0.631, 11.310
512798.46955, 0.393, 0.722, 8.968
512798.49062, 0.187, 1.335, 7.546
512798.50993, 0.287, 1.580, 7.158
512798.52980, 0.321, 1.431, 7.646
512798.55046, 0.335, 1.364, 8.173
512798.56938, 0.364, 1.388, 8.432
512798.58936, 0.383, 1.283, 8.255
512798.61067, 0.297, 1.168, 8.140
512798.63055, 0.196, 1.192, 8.245
512798.64945, 0.330, 1.517, 8.686
512798.67021, 0.239, 1.527, 8.283
512798.68943, 0.388, 1.733, 7.867
512798.70914, 0.153, 1.642, 7.579
512798.73122, 0.273, 1.450, 8.614
512798.74938, 0.354, 1.374, 9.083
512798.76906, 0.512, 1.355, 8.729
512798.79026, 0.316, 1.264, 9.385
512798.80916, 0.474, 1.436, 10.074
512798.82996, 0.622, 1.211, 10.433
512798.85010, 0.790, 1.431, 9.916
512798.86885, 0.570, 1.321, 9.859
512798.88907, 0.426, 1.259, 10.285
512798.90999, 0.546, 1.201, 10.678
512798.92905, 0.445, 1.120, 11.099
512798.94894, 0.139, 0.986, 10.788
512798.96950, 0.057, 1.216, 10.232
512798.98852, -0.086, 1.599, 10.108
512799.00867, -0.196, 1.503, 10.136
512799.02940, -0.570, 0.584, 10.644
512799.04857, -0.215, -0.183, 12.239
512799.06838, 0.086, -0.757, 12.569
512799.08938, 0.316, 0.086, 10.572
512799.10847, -0.144, 0.392, 8.710
512799.12946, -0.536, 0.555, 8.226
512799.14911, -0.565, 0.837, 8.532
512799.16810, -0.824, 0.732, 8.116
512799.18832, -0.867, 0.847, 8.020
512799.20915, -0.642, 0.890, 7.967
512799.22798, -0.373, 1.000, 7.891
512799.24835, -0.354, 1.005, 7.694
512799.26903, -0.326, 1.278, 7.259
512799.28784, -0.517, 1.474, 7.259
512799.30811, -0.431, 1.369, 7.785
512799.32908, -0.168, 1.149, 8.662
512799.34810, -0.177, 0.866, 9.049
512799.36764, -0.215, 0.890, 9.064
512799.38885, -0.326, 1.316, 9.337
512799.40758, -0.512, 1.259, 9.298
512799.42935, -0.278, 1.287, 9.538
512799.44887, -0.397, 1.378, 9.188
512799.46744, -0.584, 1.460, 8.968
512799.48771, -0.608, 1.536, 9.136
512799.50841, -0.397, 1.627, 10.069
512799.52742, -0.426, 1.331, 10.802
512799.54757, -0.608, 1.422, 11.180
512799.56833, -0.326, 1.642, 10.850
512799.58751, -0.057, 2.173, 10.146
512799.60754, 0.335, 2.580, 9.562
512799.62857, 0.077, 1.848, 9.820
512799.64746, -0.316, 0.603, 11.889
512799.66698, -0.144, -0.556, 13.852
512799.68807, 0.268, -0.863, 13.953
512799.70727, 0.680, -0.120, 11.554
512799.72749, -0.182, 0.268, 8.499
512799.74820, -0.259, 0.454, 6.339
512799.76680, -0.158, 0.885, 5.980
512799.78684, -0.417, 1.216, 6.708
512799.80802, 0.110, 1.086, 8.053
512799.82739, 0.239, 0.775, 9.145
512799.84703, 0.134, 0.349, 9.758
512799.86760, -0.148, 0.167, 9.557
