ID, X, Y, Z
518505.40996, -0.053, -0.226, 9.442
518505.43100, -0.091, -0.235, 9.322
518505.44989, -0.024, -0.178, 9.399
518505.46989, -0.057, -0.235, 9.600
518505.49089, -0.043, -0.178, 9.437
518505.50998, -0.048, -0.197, 9.380
518505.52975, -0.024, -0.149, 9.318
518505.55064, -0.034, -0.197, 9.490
518505.56969, 0.005, -0.202, 9.394
518505.58974, -0.105, -0.144, 9.308
518505.61065, -0.072, -0.197, 9.547
518505.62954, -0.101, -0.211, 9.423
518505.64954, -0.029, -0.274, 9.413
518505.67049, -0.034, -0.187, 9.413
518505.68941, 0.053, -0.197, 9.490
518505.70941, -0.014, -0.183, 9.389
518505.73025, -0.038, -0.154, 9.519
518505.74932, -0.081, -0.197, 9.428
518505.76942, -0.053, -0.144, 9.456
518505.79038, 0.000, -0.178, 9.418
518505.80931, -0.101, -0.125, 9.461
518505.82931, -0.043, -0.159, 9.356
518505.85029, -0.402, 0.062, 7.421
518505.86918, -0.148, -0.144, 8.930
518505.88924, 0.038, -0.202, 9.375
518505.91023, 0.153, -0.154, 9.030
518505.92911, -0.010, -0.187, 9.557
518505.94889, -0.057, -0.197, 9.715
518505.96988, -0.048, -0.168, 9.619
518505.98874, -0.077, -0.288, 9.605
518506.00876, -0.048, -0.168, 9.533
518506.02974, -0.062, -0.144, 9.332
518506.04865, -0.062, -0.283, 9.322
518506.06864, -0.038, -0.125, 9.351
518506.08951, 0.115, -0.211, 9.198
518506.10858, 0.010, -0.317, 9.016
518506.12854, -0.067, -0.288, 9.121
518506.14962, 0.019, -0.226, 9.385
518506.16836, 0.000, -0.192, 9.418
518506.18836, -0.043, -0.163, 9.682
518506.20938, -0.062, -0.178, 9.409
518506.22827, -0.072, -0.254, 9.634
518506.24828, -0.010, -0.240, 9.514
518506.26913, -0.034, -0.192, 9.447
518506.28812, 0.124, -0.197, 9.370
518506.30825, 0.062, -0.178, 9.840
518506.32899, 0.436, 0.095, 14.465
518506.34797, 0.259, -0.748, 10.543
518506.36797, 0.081, -1.825, 9.749
518506.38890, 0.402, -5.364, 9.174
518506.40782, 6.292, -0.709, 9.476
518506.42780, 11.516, 0.861, 9.097
518506.44875, 12.646, 1.465, 10.074
518506.46780, 7.834, 2.475, 9.389
518506.48785, -4.065, 1.718, 10.141
518506.50878, -19.613, -1.897, 9.260
518506.52772, -19.613, -6.206, 8.925
518506.54787, -14.562, -0.034, 10.941
518506.56877, -18.914, -4.574, 9.069
518506.58764, -5.282, -2.850, 9.878
518506.60768, 4.602, -3.989, 9.203
518506.62852, 15.625, -2.045, 9.284
518506.64764, 19.613, 1.268, 10.050
518506.66756, 19.613, -1.667, 9.595
518506.68847, 19.613, 3.586, 9.969
518506.70740, 11.028, -0.618, 10.931
518506.72739, -10.865, -2.309, 7.369
518506.74843, -19.613, -6.704, 9.332
518506.76726, -19.613, -6.048, 9.629
518506.78732, -19.613, -2.031, 9.342
518506.80815, -19.613, -5.234, 9.423
518506.82718, -6.460, -4.741, 10.266
518506.84721, 8.207, -6.039, 9.452
518506.86814, 19.613, -0.025, 9.471
518506.88700, 19.613, 2.145, 10.089
518506.90700, 19.613, -0.341, 9.643
518506.92796, 19.613, 1.546, 9.873
518506.94695, 6.297, -2.404, 8.614
518506.96694, -19.613, -7.384, 9.327
518506.98762, -19.613, -7.317, 9.169
518507.00665, -19.613, -3.036, 11.343
518507.02657, -19.613, -9.649, 9.327
518507.04752, -13.771, -8.581, 8.580
