ID, X, Y, Z
512879.49544, 0.034, 2.121, 9.524
512879.51533, -0.091, 1.991, 9.385
512879.53544, -0.259, 1.800, 9.380
512879.55625, -0.120, 2.054, 9.332
512879.57518, 0.062, 2.082, 8.963
512879.59522, -0.014, 2.011, 8.959
512879.61609, -0.014, 1.948, 9.543
512879.63515, -0.048, 1.996, 9.571
512879.65515, -0.019, 1.910, 9.471
512879.67605, -0.163, 1.982, 9.294
512879.69510, -0.244, 1.963, 9.078
512879.71510, -0.110, 2.049, 9.059
512879.73599, -0.206, 1.829, 9.140
512879.75493, -0.101, 1.972, 9.313
512879.77483, -0.124, 1.867, 9.279
512879.79586, -0.326, 1.948, 9.500
512879.81483, -0.306, 2.212, 9.557
512879.83481, -0.215, 2.111, 9.188
512879.85603, -0.417, 1.843, 8.954
512879.87592, -0.369, 1.934, 9.236
512879.89492, -0.062, 1.714, 9.591
512879.91594, -0.239, 1.465, 9.691
512879.93470, -0.038, 1.785, 10.055
512879.95505, -0.105, 1.675, 9.121
512879.97556, -0.311, 1.953, 8.959
512879.99480, -0.761, 1.977, 8.192
512880.01578, -0.512, 1.776, 8.681
512880.03579, 0.048, 1.762, 9.696
512880.05447, 0.043, 1.445, 9.849
512880.07446, 0.464, 1.422, 9.792
512880.09570, 0.532, 0.952, 8.863
512880.11547, 0.785, 1.038, 9.413
512880.13424, -1.025, 2.418, 8.973
512880.15532, -0.622, 1.455, 8.346
512880.17442, -0.053, 1.211, 8.719
512880.19441, 0.680, 0.789, 9.519
512880.21629, 1.015, 1.000, 9.773
512880.23398, 0.790, 0.981, 10.113
512880.25412, 0.431, 0.847, 9.385
512880.27499, 0.426, 0.967, 7.991
512880.29394, 0.426, 1.292, 8.628
512880.31511, 0.622, 1.144, 10.022
512880.33474, 0.043, 1.345, 8.820
512880.35380, 0.158, 1.182, 8.829
512880.37378, 0.096, 0.952, 9.150
512880.39450, 0.168, 1.235, 8.949
512880.41368, 0.460, 1.182, 8.633
512880.43373, 0.124, 1.240, 7.359
512880.45440, 0.335, 1.110, 7.316
512880.47332, 0.565, 1.038, 8.695
512880.49336, 0.599, 1.331, 8.417
512880.51419, 0.474, 1.350, 7.800
512880.53317, 0.316, 1.187, 7.781
512880.55335, 0.163, 1.048, 7.541
512880.57411, 0.383, 1.115, 7.804
512880.59327, 0.230, 1.254, 7.455
512880.61337, 0.048, 1.340, 7.445
512880.63415, -0.110, 1.019, 7.761
512880.65291, -0.124, 1.077, 7.881
512880.67290, -0.067, 1.067, 7.694
512880.69419, -0.072, 1.120, 7.709
512880.71302, -0.354, 1.106, 8.135
512880.73299, -0.211, 1.149, 8.432
512880.75378, -0.163, 1.139, 8.317
512880.77269, -0.096, 1.216, 7.565
512880.79292, -0.230, 1.220, 7.752
512880.81368, -0.235, 1.024, 8.863
512880.83250, 0.096, 1.201, 9.547
512880.85260, 0.120, 0.871, 9.629
512880.87348, 0.029, 0.852, 9.658
512880.89248, 0.153, 0.880, 9.504
512880.91249, 0.134, 0.742, 9.643
512880.93345, 0.239, 0.483, 10.275
512880.95239, 0.110, 0.627, 10.165
512880.97238, -0.192, 0.363, 10.285
512880.99362, -0.316, 0.263, 10.548
512881.01261, -0.139, 0.167, 10.194
512881.03247, -0.393, -0.116, 10.371
512881.05305, -0.407, 0.033, 10.074
512881.07242, -0.292, -0.048, 9.519
512881.09203, -0.378, -0.106, 9.935
512881.11321, -0.330, -0.048, 10.371
512881.13209, -0.158, -0.092, 10.663
512881.15243, 0.230, 0.521, 10.055
512881.17338, 0.048, 0.363, 9.677
512881.19202, 0.163, 0.110, 10.136
512881.21204, 0.158, 0.047, 10.792
512881.23294, 0.168, 0.028, 11.171
512881.25205, 0.230, 0.306, 11.123
512881.27230, 0.086, 0.421, 10.314
512881.29278, -0.168, 0.033, 10.333
512881.31178, -0.168, 0.244, 11.185
512881.33218, -0.235, 0.469, 11.195
512881.35357, -0.402, 0.359, 10.390
512881.37220, -0.402, 0.172, 10.472
512881.39162, -0.321, 0.608, 11.334
512881.41292, -0.445, 0.521, 11.583
512881.43189, -0.220, 0.435, 11.080
512881.45264, -0.469, 0.057, 10.644
512881.47302, -0.340, 0.100, 10.448
512881.49136, -0.239, 0.148, 10.510
512881.51181, -0.211, 0.239, 10.117
512881.53270, -0.378, 0.076, 9.557
512881.55153, -0.048, 0.153, 8.575
512881.57152, -0.273, 0.426, 7.426
512881.59217, -0.120, 1.077, 8.451
512881.61149, -0.192, 0.933, 9.107
512881.63119, -0.168, 0.876, 10.290
512881.65225, -0.081, 1.541, 10.256
512881.67131, -0.484, 1.915, 9.820
512881.69105, -0.383, 1.407, 10.065
512881.71204, 0.120, 0.900, 9.595
512881.73114, 0.230, 0.919, 10.041
512881.75087, 0.148, 1.359, 10.596
512881.77202, -0.081, 1.177, 10.103
512881.79074, -0.192, 1.010, 10.697
512881.81112, -0.397, 1.043, 10.745
512881.83169, 0.072, 1.604, 9.935
512881.85084, 0.359, 1.886, 8.293
512881.87082, 0.402, 1.814, 8.044
512881.89160, -0.072, 1.570, 9.026
512881.91052, 0.086, 1.809, 10.883
512881.93083, 0.086, 1.833, 10.917
512881.95149, 0.335, 1.680, 8.786
512881.97090, 0.206, 1.728, 7.575
512881.99034, 0.120, 1.527, 8.302
512882.01166, 0.029, 0.804, 10.409
512882.03061, 0.498, 0.986, 10.730
512882.05053, 0.268, 0.852, 9.725
512882.07143, 0.182, 0.866, 9.102
512882.09009, 0.330, 1.034, 8.724
512882.11014, 0.388, 1.220, 8.034
512882.13135, 0.479, 1.091, 8.283
512882.15022, 0.215, 0.986, 8.824
512882.17023, -0.034, 1.048, 9.519
512882.19094, -0.077, 1.091, 9.567
512882.21025, 0.101, 0.914, 8.982
512882.23033, 0.034, 0.895, 8.959
512882.25135, 0.120, 1.043, 9.600
512882.26994, 0.153, 1.139, 9.524
512882.28970, 0.043, 1.177, 9.385
512882.31099, 0.115, 1.297, 9.380
512882.32959, 0.148, 1.647, 9.212
512882.35067, 0.062, 1.910, 8.954
512882.37082, 0.177, 1.829, 9.021
512882.38931, 0.120, 1.762, 8.891
512882.40961, 0.086, 1.584, 8.844
512882.43034, 0.163, 1.809, 8.935
512882.44929, 0.005, 2.039, 9.011
512882.46960, -0.287, 1.862, 9.016
512882.49024, -0.077, 1.685, 8.839
512882.50957, 0.062, 1.556, 9.011
512882.52920, 0.182, 1.632, 8.968
512882.55047, 0.101, 1.604, 8.920
512882.56933, 0.172, 1.407, 8.781
512882.58949, 0.158, 1.465, 8.609
512882.61029, -0.029, 1.326, 9.217
512882.62930, -0.029, 1.402, 9.385
