ID, X, Y, Z
517269.12547, 0.144, 1.326, 10.314
517269.14582, 0.163, 1.618, 10.242
517269.16475, 0.086, 1.694, 9.366
517269.18474, -0.024, 1.450, 9.121
517269.20558, 0.067, 1.086, 9.423
517269.22472, 0.187, 1.249, 9.715
517269.24458, -0.570, 1.374, 9.983
517269.26560, 0.043, 1.125, 9.806
517269.28456, 0.402, 1.388, 9.825
517269.30448, 0.292, 2.102, 11.516
517269.32555, 0.800, 1.872, 11.190
517269.34442, 1.140, 1.125, 9.193
517269.36443, 0.096, 0.569, 7.536
517269.38520, -0.704, 0.770, 9.011
517269.40422, 1.039, 1.843, 9.337
517269.42424, 1.915, 2.973, 8.020
517269.44527, 0.464, 2.825, 7.436
517269.46416, -0.833, 1.082, 9.231
517269.48419, -0.680, 0.210, 9.825
517269.50528, -0.800, 0.057, 8.968
517269.52433, -0.230, 1.029, 9.150
517269.54401, 0.383, 1.805, 8.393
517269.56514, -0.062, 1.024, 9.030
517269.58401, 0.565, 1.795, 10.007
517269.60400, 0.713, 1.728, 9.456
517269.62512, -0.857, 0.842, 9.816
517269.64397, -0.627, 0.296, 9.705
517269.66391, 0.393, 1.450, 9.385
517269.68509, 0.460, 1.785, 8.681
517269.70402, -0.350, 1.594, 8.609
517269.72383, 0.268, 1.489, 9.088
517269.74506, -0.148, -0.446, 8.872
517269.76551, -1.647, -0.341, 8.872
517269.78383, -0.680, 1.211, 6.253
517269.80475, 0.072, 1.987, 6.440
517269.82352, -0.153, 2.054, 8.231
517269.84338, -0.081, 1.311, 8.671
517269.86442, 0.124, 0.713, 6.727
517269.88348, -0.393, 0.363, 6.004
517269.90349, -0.646, 0.785, 7.967
517269.92451, 0.441, 1.819, 8.733
517269.94373, 1.896, 3.021, 6.234
517269.96363, 0.919, 1.891, 6.430
517269.98461, -0.632, 0.737, 9.825
517270.00345, -0.201, 0.684, 9.983
517270.02357, 0.972, 0.890, 7.235
517270.04433, 0.742, 0.995, 9.433
517270.06342, 0.067, 0.866, 12.411
517270.08626, 0.105, 0.588, 12.018
517270.10402, 0.196, 0.823, 8.623
517270.12287, -0.369, 1.220, 9.231
517270.14292, -0.201, 0.588, 11.702
517270.16384, 0.910, 0.641, 12.602
517270.18276, 0.675, 0.885, 11.626
517270.20271, 0.278, 0.933, 10.429
517270.22376, 0.158, 0.205, 10.601
517270.24294, 0.086, 0.315, 11.415
517270.26294, 0.306, 0.177, 12.449
517270.28368, 0.014, -0.077, 12.306
517270.30253, -0.484, 0.110, 11.161
517270.32251, 0.397, 0.976, 9.476
517270.34347, 0.666, 1.513, 8.341
517270.36281, 0.618, 1.182, 9.399
517270.38399, 0.450, 0.756, 10.285
517270.40325, 0.766, 0.952, 9.452
517270.42227, 0.139, 0.880, 8.647
517270.44263, -0.129, 0.794, 8.441
517270.46316, -0.043, 1.072, 7.642
517270.48244, -0.034, 1.024, 6.603
517270.50233, -0.144, 1.163, 7.364
517270.52308, -0.646, 0.416, 8.839
517270.54239, -0.646, 0.655, 8.561
517270.56217, -0.508, 0.909, 6.962
517270.58296, -0.330, 0.919, 6.033
517270.60191, -0.498, 1.149, 5.980
517270.62182, -0.532, 1.082, 8.082
517270.64307, -0.163, 1.206, 9.366
517270.66189, -0.201, 0.818, 10.769
517270.68150, -0.426, 0.306, 11.750
517270.70254, 0.359, 0.885, 9.883
517270.72143, -0.091, 1.187, 8.183
517270.74138, -0.144, 1.383, 8.259
517270.76233, 0.139, 1.910, 9.768
517270.78140, 0.919, 2.025, 11.381
517270.80137, 0.685, 1.101, 11.664
517270.82228, 0.182, 0.167, 10.701
517270.84141, -0.230, -0.020, 11.425
517270.86133, 0.101, 0.004, 11.195
517270.88217, 0.809, 0.622, 10.582
517270.90105, 1.087, 1.182, 10.342
517270.92154, 0.086, 0.703, 11.075
517270.94235, -0.077, 0.627, 9.907
517270.96113, 0.302, 1.800, 8.087
517270.98099, 0.632, 2.403, 8.020
517271.00198, 0.709, 1.805, 11.113
517271.02093, 0.747, 1.378, 11.219
517271.04084, 0.297, 0.976, 10.045
517271.06177, 0.666, 1.536, 8.250
517271.08073, 0.690, 1.833, 8.733
517271.10084, 0.555, 1.316, 10.050
517271.12167, 0.843, 1.173, 8.164
517271.14052, 0.244, 1.163, 6.593
517271.16076, 0.134, 1.340, 7.321
517271.18137, 1.197, 2.073, 8.283
517271.20071, 1.336, 2.576, 7.718
517271.22057, 0.709, 1.900, 7.397
517271.24199, 0.105, 1.259, 8.164
517271.26056, 0.680, 1.714, 8.719
517271.28020, 1.173, 1.714, 8.101
517271.30148, 0.953, 1.771, 7.287
517271.32040, 0.436, 1.967, 7.503
517271.34079, 0.517, 1.747, 7.709
517271.36168, 0.924, 1.924, 9.447
517271.38058, 0.187, 1.580, 10.759
517271.40043, -0.230, 1.082, 9.931
517271.42139, -0.077, 1.082, 8.800
517271.44024, 1.092, 1.350, 9.275
517271.46048, 0.781, 1.671, 11.865
517271.48131, -0.024, 1.589, 14.025
517271.50059, -0.249, 1.077, 12.593
517271.52000, 0.101, 1.259, 9.423
517271.54132, 0.134, 1.876, 10.773
517271.55994, 0.378, 1.647, 13.881
517271.58005, 0.407, 1.259, 14.767
517271.60134, 0.139, 1.441, 10.409
517271.61975, 0.077, 1.891, 7.508
517271.64004, 0.081, 2.226, 6.718
517271.66108, 0.254, 2.312, 7.589
517271.67988, 0.579, 2.054, 8.370
517271.69998, 0.235, 1.522, 8.489
517271.72050, 0.153, 1.053, 8.298
517271.73986, 0.201, 1.364, 7.369
517271.75977, -0.268, 1.675, 7.551
517271.78072, -0.512, 1.484, 8.255
517271.79996, 0.163, 1.508, 8.168
517271.81930, 0.254, 1.618, 7.244
517271.84067, -0.101, 1.766, 6.378
517271.85942, -0.057, 1.632, 6.358
517271.87947, -0.081, 1.728, 7.426
517271.90080, 1.068, 2.911, 8.719
517271.91920, 1.226, 2.954, 8.063
517271.93944, 0.196, 1.398, 7.694
517271.96042, -0.464, 0.842, 9.222
517271.97921, -0.460, 1.201, 10.381
517271.99954, 0.316, 2.058, 11.051
517272.01989, 0.939, 2.552, 13.278
517272.03894, 1.326, 2.293, 13.718
517272.05918, 0.967, 1.469, 13.637
517272.08011, 0.536, 0.971, 13.335
517272.09897, 0.330, 0.837, 12.052
517272.11868, 0.464, 0.780, 11.774
517272.13999, 0.417, 1.378, 11.468
517272.15862, 0.685, 2.207, 9.049
517272.17843, 0.613, 2.595, 7.163
517272.19968, 0.608, 2.384, 6.492
517272.21850, 0.666, 2.173, 7.982
517272.23886, 1.092, 1.977, 10.883
517272.25964, 0.488, 1.517, 12.109
517272.27878, -0.019, 1.240, 12.119
517272.29824, 0.096, 1.331, 8.389
517272.31935, -0.144, 1.450, 6.564
517272.33851, 0.153, 1.757, 6.138
517272.35849, 0.450, 2.231, 6.617
517272.37966, 0.800, 2.365, 7.172
517272.39832, 0.354, 1.747, 7.488
517272.41811, 0.182, 1.235, 7.747
517272.43930, 0.158, 1.297, 7.809
517272.45806, 0.110, 1.091, 7.910
517272.47812, -0.019, 0.967, 7.910
517272.49944, 0.512, 1.388, 7.627
517272.51783, 0.666, 1.613, 7.196
517272.53813, 0.244, 1.287, 6.641
517272.55910, -0.852, 1.067, 8.944
517272.57835, -0.359, 1.455, 9.720
517272.59791, 0.555, 2.619, 9.480
517272.61872, 0.326, 2.418, 11.645
517272.63768, 0.532, 1.048, 14.140
517272.65789, 0.306, 0.770, 14.609
517272.67847, -0.464, 1.197, 11.999
517272.69769, -0.503, 1.302, 9.758
517272.71741, -0.148, 1.479, 10.826
517272.73873, 0.302, 1.809, 11.860
517272.75737, -0.182, 1.800, 11.386
517272.77758, -0.570, 1.311, 9.385
517272.79838, -1.202, 0.732, 8.633
517272.81726, -1.077, 0.555, 10.462
517272.83749, -0.163, 1.173, 11.329
517272.85818, 0.350, 1.632, 10.280
517272.87723, 0.010, 1.551, 8.619
