ID, X, Y, Z
517237.81531, -0.005, 1.153, 10.256
517237.83303, 0.273, 1.680, 9.811
517237.85203, 0.417, 1.685, 9.576
517237.87187, -0.124, 1.086, 9.638
517237.89290, -0.484, 1.062, 9.107
517237.91193, 0.034, 1.623, 8.767
517237.93183, 1.030, 2.245, 9.399
517237.95278, 1.762, 2.379, 10.093
517237.97192, 0.651, 2.034, 9.768
517237.99186, -0.268, 1.402, 10.136
517238.01269, 0.010, 1.292, 9.763
517238.03180, 0.364, 1.489, 9.265
517238.05183, 0.388, 1.848, 9.485
517238.07260, -0.014, 1.532, 9.796
517238.09157, -0.939, 1.220, 9.816
517238.11169, -0.321, 0.991, 9.251
517238.13248, 1.279, 1.862, 8.700
517238.15158, 0.479, 3.026, 9.476
517238.17156, -0.948, 1.943, 11.908
517238.19255, -0.680, 0.172, 11.051
517238.21197, 0.469, -0.436, 8.518
517238.23152, -0.421, -0.604, 8.346
517238.25256, -1.379, -0.307, 10.831
517238.27179, -0.168, 0.569, 9.289
517238.29146, 0.541, 1.489, 7.168
517238.31230, 0.886, 1.781, 7.244
517238.33185, -0.536, 1.848, 11.176
517238.35108, -0.091, 0.976, 12.167
517238.37214, 0.546, 0.622, 9.140
517238.39107, 2.021, 2.288, 7.014
517238.41149, 1.082, 3.064, 8.226
517238.43229, -0.249, 2.877, 10.941
517238.45120, -1.346, -0.350, 11.233
517238.47096, 0.498, -0.044, 7.148
517238.49181, 1.293, 2.322, 5.789
517238.51111, -0.196, 1.824, 9.777
517238.53194, -0.852, 1.254, 13.766
517238.55203, 0.536, 1.192, 12.157
517238.57074, 1.106, 1.273, 9.471
517238.59085, -0.536, 0.315, 8.259
517238.61191, -0.436, -0.350, 12.004
517238.63176, -0.354, -0.489, 13.378
517238.65077, -0.330, 0.296, 11.511
517238.67160, -0.881, 0.450, 10.658
517238.69070, -1.010, 0.023, 10.141
517238.71151, -0.445, 0.311, 10.170
517238.73255, -0.105, 0.766, 10.749
517238.75053, 0.656, 0.727, 11.046
517238.77025, 0.512, 0.248, 11.252
517238.79134, -0.048, -0.360, 10.984
517238.81048, -0.163, -0.116, 9.184
517238.83136, -0.584, 0.320, 7.512
517238.85094, -0.939, 0.062, 8.800
517238.87010, -0.077, 0.392, 10.448
517238.88995, 0.843, 0.584, 9.825
517238.91144, 0.297, 0.057, 8.925
517238.92988, -0.072, -0.360, 8.317
517238.94984, 0.737, 0.239, 7.623
517238.97089, 1.216, 1.244, 7.225
517238.98978, 1.192, 1.125, 8.235
517239.01006, 0.273, 0.095, 9.715
517239.03181, 0.263, -0.216, 8.700
517239.04959, 0.431, 0.239, 7.666
517239.06959, 0.685, 1.216, 6.105
517239.09064, 0.852, 1.536, 6.009
517239.10955, 0.776, 1.498, 7.532
517239.12955, 0.536, 1.201, 9.284
517239.15047, 0.493, 0.579, 9.337
517239.16943, 0.364, 0.732, 8.288
517239.18961, -0.340, 0.574, 7.220
517239.21047, -0.479, 0.186, 8.911
517239.22959, -0.163, 0.153, 10.658
517239.24940, 0.297, 0.397, 10.845
517239.27025, 0.508, 0.349, 11.381
517239.28913, 0.397, 0.124, 12.890
517239.30906, 0.369, -0.245, 14.020
517239.33154, 0.412, -0.455, 12.588
517239.34912, 0.230, -0.197, 10.577
517239.36900, 0.024, 0.291, 10.256
517239.38989, 0.488, 0.579, 11.343
517239.40916, 1.130, 0.157, 10.716
517239.42913, 1.422, 0.019, 11.233
517239.45005, 1.264, -0.436, 12.143
517239.46880, 1.255, -0.676, 11.367
517239.48868, 1.001, -0.384, 9.385
517239.50996, 1.092, 0.263, 8.216
517239.53005, 1.082, 0.239, 9.136
517239.54854, 1.235, 0.181, 9.265
517239.56951, 1.207, 0.354, 8.781
517239.58852, 1.097, 0.373, 8.370
517239.60841, 0.900, 0.756, 7.881
