TIME, X, Y, Z
685344.95644, -0.077, 2.169, 9.375
685344.97549, -0.120, 1.910, 9.356
685344.99544, -0.105, 2.006, 9.208
685345.01565, -0.101, 1.996, 9.054
685345.03538, -0.206, 1.929, 9.002
685345.05531, -0.311, 1.881, 9.351
685345.07539, -0.148, 1.915, 9.634
685345.09533, -0.249, 1.690, 9.346
685345.11531, -0.263, 1.766, 9.193
685345.13547, -0.397, 1.891, 9.222
685345.15519, -0.306, 1.795, 9.011
685345.17517, -0.369, 1.982, 9.069
685345.19525, -0.244, 1.757, 9.409
685345.21504, -0.297, 1.752, 9.500
685345.23498, -0.335, 1.862, 8.978
685345.25518, -0.484, 1.757, 8.877
685345.27504, -0.441, 1.762, 9.241
685345.29527, -0.187, 1.733, 9.437
685345.31511, -0.101, 1.833, 9.318
685345.33503, -0.038, 1.833, 9.356
685345.35484, -0.024, 1.685, 9.011
685345.37495, -0.072, 1.800, 9.313
685345.39475, -0.192, 1.829, 9.222
685345.41485, -0.110, 1.742, 9.677
685345.43483, 0.014, 1.790, 9.619
685345.45468, -0.086, 1.819, 9.184
685345.47521, -0.273, 1.829, 9.107
685345.49487, -0.292, 1.881, 8.930
685345.51501, -0.215, 1.896, 8.489
685345.53461, -0.287, 2.044, 8.657
685345.55491, -0.364, 1.809, 9.021
685345.57464, -0.120, 1.896, 9.270
685345.59452, -0.345, 2.121, 8.935
685345.62001, -0.350, 2.116, 8.513
685345.63427, -0.373, 2.078, 8.858
685345.65612, -0.225, 2.240, 9.164
685345.67468, -0.187, 2.169, 9.011
685345.69423, -0.220, 2.073, 9.078
685345.71460, -0.120, 2.149, 9.361
685345.73458, -0.134, 2.092, 9.040
685345.75558, -0.134, 2.001, 9.045
685345.77411, -0.034, 2.044, 9.212
685345.79419, -0.096, 2.121, 9.188
685345.81389, -0.196, 2.140, 9.049
685345.83416, -0.139, 2.212, 8.911
685345.85508, -0.144, 2.236, 8.791
685345.87366, -0.144, 2.020, 8.987
685345.89378, -0.096, 2.159, 9.327
685345.91391, 0.057, 2.202, 9.409
685345.93391, 0.182, 1.943, 9.136
685345.95470, 0.096, 1.809, 9.514
685345.97398, 0.000, 1.728, 10.314
685345.99356, -0.019, 1.900, 10.692
685346.01360, -0.105, 1.613, 10.261
685346.03396, -0.005, 1.355, 9.715
685346.05462, 0.206, 1.273, 9.705
685346.07339, 0.302, 1.316, 9.792
685346.09353, 0.388, 1.048, 10.170
685346.11354, 0.484, 0.833, 10.673
685346.13358, 0.273, 0.627, 11.013
685346.15357, 0.613, 0.545, 10.543
685346.17346, 0.651, 0.450, 10.304
685346.19316, 0.819, 0.670, 9.648
685346.21355, 0.843, 0.713, 9.208
685346.23334, 0.737, 1.062, 9.083
